Level,n_x,N_t,t_s [s],t_f [s],||r_H||_inf,RMS(r_H),epsilon_H
Coarse,32,25,3.2195121951219514,59.70731707317074,0.000497187834690313,9.131658310466363e-05,0.002896688041138268
Intermediate,64,49,3.2195121951219514,59.70731707317074,0.0004971878412228792,4.677854163194815e-05,0.001592371821277777
Fine,128,97,3.2195121951219514,59.70731707317074,0.000497187841325103,3.670683256935905e-05,0.0
